stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,9,0,0,0,1,0,0,0,0,0,4,0,0,2,19,0,0,1,0,0,0
72hpf,0.28,0,2.82,0.28,0,0,0,0,0,0.28,3.1,0,2.82,0.28,0,1.13,0.28,0,0,3.95,0,0,0
21Day,0.37,0,9.25,0.37,0,0,0,0,0,0.37,3.33,0,12.21,2.22,0,0.74,1.11,0.37,0.74,1.48,0.37,0,0
3Month,0,0,0.73,0,0,0,0,0,0.42,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0.21,0
22Month,0,0.55,0.14,0,0.27,2.05,0,1.5,0.68,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0.27
