stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,1.13,0,0,0,0
21Day,0.37,0.37,1.11,0,0,0,0,0.74,0,0
3Month,0,0,0.42,0.1,0,0,0.1,0,0.1,0.1
22Month,0,0,0,0,0.41,0,0,0,0,0
