stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0,0,0,0.56,0,0,0,0,0,3.95,1.41,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0,2.59,2.59,0,0.74,0,1.48,0,0,0,0.37,13.32,0.37,0,0,3.7,1.48,0,0,0,0,12.21,1.48,0,0,0,1.11,1.48,0,0,0,0.37,0.74,0,0,0,11.47
3Month,0.83,0.1,4.58,0,0.21,0.21,0.42,24.44,0,0,6.97,24.34,3.64,1.77,0.42,1.25,13.42,1.46,0.1,0.21,0.83,0.62,0.42,0.21,1.04,0.21,0,0.21,1.14,0.31,7.8,0.21,0.21,0,0.1,0.52,42.96,31
22Month,0.96,0.27,1.37,0,0.82,0.27,0,21.59,0.82,0,11.75,9.29,3.55,1.5,0,0.27,6.56,1.37,0,0.14,0.55,0,0.14,0,0.27,0.14,0.96,0,0.41,0,0.96,0.14,0.41,0,0,0.41,0.14,7.79
