stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,8,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
72hpf,4.23,0.28,0.28,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0
21Day,2.22,0,0,0,1.48,0,0,0.37,0,0.37,1.48,0,0,0,1.11,0,0,0.37
3Month,0.83,0.1,0,0.1,1.56,0.62,0.31,0.1,0.1,0.31,0.21,0,0,0,0,0.1,0.21,0.31
22Month,0.41,0.14,0,0,0.68,2.46,0.27,0.14,0,0.14,0,0.14,0,0,0,0,0,0.14
