stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0,1.13,0.56,0.28,0,0,0,0,0,0.28,3.38,0.28,1.69,0,0,0,0,120.91,3.1,0.56,0.85,2.25,0,0.28,0.85,0,0,0,0,0
21Day,1.11,0.74,0.37,3.33,0.74,0,0,0,0,0.37,0,0,1.48,0.74,1.11,0,0,0.37,0,30.34,2.22,0.37,2.22,0,1.11,0,1.11,0,0.37,0,0,0
3Month,0,3.74,0.1,0.62,0,0,0.31,0,1.35,0.1,0.31,0,1.77,0.21,3.02,0.1,0,0.21,0.42,0.73,0.1,1.14,0.52,0,0,1.14,0.83,0,0,0.21,0.31,0.73
22Month,0,2.05,0.14,1.09,0,0,0.82,0.41,3.01,0.14,0.14,0,0,0.27,3.28,0,0.14,0,0,0.68,0.14,2.46,0.14,0.14,0,0.41,3.28,0.14,0,0,0,0.14
