stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0.28,0,0,0.85,0,0,0.28,3.1,0
21Day,0.74,0,0,0.37,0,0.37,0,0,0,0,4.07,0.37,0,0,2.59,0
3Month,0.1,0,0.31,0,0.21,0,0,0.1,0.1,0,0.21,0,0.1,0,0,0.1
22Month,0,0,0,0,2.73,0,0.27,0,0.14,0.14,0.41,0,0,0,0,0
