stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0.37,0,0.37,0
3Month,0,0.31,0.21,1.14,0.1,0.52,0.42,3.12,0.73,0.31,1.35,0.83,0.83,0.73,1.14,0.1,0.1,0.52,0.21,0.1,0.21,1.14,110.15,0.1,0,0.31,6.87,0.62
22Month,0,0,0,0,0,0,0,1.37,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,12.3,0.14,0,0,0.14,0
