stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,5.55,0.37,0,0,0
3Month,3.95,0.1,0.1,0.1,0.1,0.21,0,0.1,0.1,0.1
