stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0,0,0,0.56,0,10.43,2.54,0.28,0,0,0.56,0,0.28,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0.37,5.55,1.11,0.37,0.37,0.37,0.37,0.37,0.37,0
3Month,0,0,0,0,0,0,0.42,0,0.21,0,0,0,0,0,0.62,0.1,0,0,0.1
22Month,0.14,0,0,0,0,0.14,0.55,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0
