stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,64,0,0,0,1,2,97,0,0,0,1,0,0,0,1,0,0,0
72hpf,5.64,0.56,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0.28,0.56,0,1.41,0,0,0,0,3.38,10.99,0,0,0,1.41,0,0,0,0,0,0,0
21Day,4.07,7.03,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0.37,2.22,0,0,1.11,0,0.74,2.59,0,0,0,0.37,1.11,0.37,0,0,0,0,0.37
3Month,8.32,1.46,0,1.04,0,0,0,0,0.1,0.52,0.1,1.25,0.21,0.31,0.21,0.31,0.21,1.77,0.62,0,0,0,0.1,0,0.21,0.1,0,0.1,0.1,3.22,0,0,0.1,5.41,0
22Month,5.19,34.57,0.27,1.64,0.41,0,0,0.14,0,0.41,0.27,7.38,0.14,0.27,0.27,0.27,0.27,5.19,0,0.14,0,0,0,0.41,0.41,0,0.14,0.14,0,5.88,0.14,0,0,0,0.27
