stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0
72hpf,3.66,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0.85,0.28,0,1.97,0,0,0,52.14,6.48,0.28,1.41,0,0,1.69,0.28,0,0,0
21Day,7.4,0,0,1.85,2.22,0.74,0,0,0,0,0,0.74,0,1.85,0.74,0,2.59,0,0,1.11,34.04,4.44,0,0.74,1.48,0,1.11,0.37,0,0,0
3Month,0.1,0,0.21,0.83,0,0.1,0.1,0,0,2.29,0.1,0.1,0.42,0.31,0.1,0.1,0.42,0.1,0,0.1,0,0,0,0,0,0.62,0,0.1,0.21,0.1,0.1
22Month,0.27,0.14,0.27,1.5,0,0.14,0.27,0.55,0.41,6.7,0.55,0.14,1.23,0.68,0,0.14,1.09,0.14,0.41,0,0.27,0.14,0,0,0,0.82,0,0,0,0,0.14
