stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0,0
21Day,0,0,0.37,0,1.11,0,0,0,0,0.37,0,0,0,0,0,1.11,0.74,0.37,0,0
3Month,0,0.31,0,0,0,0,0,0.52,0.1,0,0.1,0,0,0,0,0,0,0,0.21,0
22Month,0,0,0,0.14,0,0.27,0.14,2.6,0,0,0.14,0.14,0.14,0,0.14,0,0,0,0.14,0.14
