stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,7,1,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,105,19,0,0,1,0,0,0,0,0,5,0,0,0
72hpf,5.92,0.56,0,2.54,1.13,4.79,0,0,0,0,0,0,0,0,0,2.25,7.89,0.85,2.82,0,0.85,0,565.67,15.78,1.13,3.38,8.74,0,0,3.95,0.56,0.56,31.85,0,0,0
21Day,1.85,0,0,3.33,0.37,2.59,0,1.48,0,0.37,0,1.48,0,0,0.37,0,1.85,1.48,5.18,0,0,0.37,182.03,6.29,1.85,1.48,1.48,4.07,0,2.59,0,1.85,6.29,0,0,0.74
3Month,0,0.1,0,1.14,0.31,0,0.1,0,0.1,0.42,0,1.35,0.21,0.1,0.52,0.42,0.21,4.16,1.35,0.62,0,0.1,5.72,0,4.78,2.81,0.73,0,6.66,0.42,0,0,2.08,0.1,1.14,0.42
22Month,0,0.14,0.14,0.14,0.14,0,0.14,0,0.14,1.64,0,6.01,0.27,0,0.41,0,0.14,1.5,3.83,0.27,0.14,0,7.79,0.27,4.51,7.65,3.01,0,20.09,3.01,0.14,0,0,0,0,0.14
