stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0.28,0,0
21Day,0,1.11,7.03,0.37,0.37,0,0.37,0,0,0,0.37,0,0.37,0,9.99,1.11,0,0,0,0,0,0.74,0,0,1.11,0.37,0,0.37,0.37,0,0.74
3Month,0,1.56,21.53,5.82,0,0.1,21.43,0.31,11.03,0.83,0.21,3.22,0.31,0.62,5.2,1.46,0.21,0.21,0.73,0.1,0.21,0.1,0.62,0,0.52,0.73,0.42,0,0,0.31,0.83
22Month,0.27,8.61,3.55,6.56,0,0.27,2.05,0.68,9.98,0.41,0.27,4.78,0,0,4.24,0.55,0,0.68,0.27,0,0,0,0.55,0.14,0.14,0,0,0,0,0,0.68
