stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0.56,0.56,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0
3Month,0.1,0,0.21,0,0,0,0,0.31,0.1
22Month,0.14,0,0.41,0.14,0.14,0,0,0.27,0
