stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0.85,0,0
21Day,0,1.11,0,0.37,0,0,0,0.37,0,0.37,0.74
3Month,0.1,0,0.21,0,0,0,0,0.21,0,0,0
22Month,0,0,3.01,0.14,0,0.14,0.14,0,0,0,0.41
