stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Radial_glia
72hpf,0,0,0,0.28,0.28,3.66,0.28
21Day,0.37,0,0,0,0.37,1.85,0
3Month,0,0,0.1,0,0,0,0
22Month,0,0.41,0,0,0,0,0
