stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,3.7,0,0,0,0,0,0,0,0.37,1.48,0,0.37,0.37,0,0.37,0.37,0,0,0,0
3Month,0.1,1.98,0.1,0.83,0.52,0.94,0.1,2.5,0,0,2.91,0.21,0,0,0.62,0,0.1,0,0.1,0.42,1.98
22Month,0,0.41,0,0.68,2.32,1.78,0,2.73,0.14,0.14,3.83,0,0,0,0.14,0,0.14,0.14,0,0,0.68
