stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,20.01,0.28,0,4.79,0,0,0.28,0,0,0,0
21Day,0,0,2.22,0,0,0,0,0,0,0.37,0,0,1.11,0,0.37,0,0,0,0,4.07,0.37,0,5.92,0.37,0,0.74,0,0,0,0
3Month,0.52,0.21,7.49,2.18,0.1,0.94,0,1.25,0.21,0.21,0.31,0.21,0.62,0.1,6.03,0.21,0,0.1,0.1,0.31,0.62,0.42,0.52,0,4.06,5.2,2.91,0.31,4.37,0
22Month,0.27,1.23,3.55,0.96,0.41,0.68,0.14,2.05,0.14,0.14,0.27,0.14,0.14,0.14,3.42,0,0.27,0.14,0,0,0,0.14,0,0.27,1.09,9.7,0.55,0,0.14,0.41
