stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.28,0,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28
21Day,0.37,0,0.37,0.37,0,1.85,0,0,1.11,0.74,0,0,0.37,1.48,0.74,0,0,0,0,0,0,0,0,0,2.96
3Month,0.1,0.62,0,0.21,0.1,7.07,0,0.83,9.05,0.62,0.1,0.1,0,2.39,0.31,0,0.52,0,0,0,0.21,1.56,0,3.33,4.99
22Month,0.82,0.14,0,0,0.41,37.72,0.14,1.91,4.78,1.5,0.82,0,0.14,6.83,0.27,0.14,0,0,0.14,0,0,0.27,0.14,0,2.73
