stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.41,43.4,0.28,0,0,0,0,0,0,0,0,2.82,0,0.28,0,0,0.28,7.33,2.54,0.56,2.54,0,0,0,0,0,0.85,0,0
21Day,1.85,0,0,3.33,27.01,0.74,0,0,0,0,0,0,0.37,0.37,3.33,0,2.96,0,0,0,4.44,1.48,2.22,1.48,0.74,0,0.37,0,0.37,1.11,0,0
3Month,0,0.31,0.1,2.08,4.06,0,0.1,0.21,0.31,3.74,0.1,0.21,1.25,0.1,0.62,0.42,0.62,0.1,0,0.1,0.21,0.1,1.56,0,0.42,4.47,0,0,0,0,6.87,0.62
22Month,0,0.14,0.68,1.5,4.1,0,0,0.14,1.23,12.44,0.68,0.14,1.23,0.14,0.27,0.82,0.41,0,0.14,0.14,0,0,1.37,0,0,3.14,0,0.14,0,0,0.27,0
