stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Radial_glia,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0,0.37,1.11
3Month,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0
22Month,0.27,0,0,0.27,0,0,0.14,0.14,0.27,0.14,0,0
