stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,9,1,0,0,0,0,0,0,0,0,0,1,58,0,7,0,0,0,0,3,90,0,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,4.51,0.28,1.69,0,0,0,0,0,0,0,0,0.56,81.45,0.56,1.69,0,0.56,0.28,0,5.92,3.95,0,0.28,0,1.13,0,0,0.28,0,0.28,0,0,0
21Day,2.22,0.37,0,49.95,0.74,1.85,0,2.59,0,0,0.37,0,0.37,0,0.37,207.93,1.11,3.7,0,0,0.74,0,2.59,4.07,0,0,0,1.85,1.11,0,0.37,1.11,0,0,0,0.74
3Month,0.1,0.21,0.42,36.41,0,0,0.1,0,0.42,0.94,5.41,1.14,0.42,1.66,0.42,1.35,0.83,1.56,0.31,0,0.31,0.31,0.1,0.1,0.21,0.1,0,0.1,0.42,17.99,0,0,0,21.22,4.58,0.73
22Month,0.14,0.14,0.14,5.19,0.14,0,0.14,0.14,0.14,1.23,11.21,0.55,0.68,0.96,0,0.41,1.78,0.41,0,0.41,0.27,0.14,0,0,0.27,0.14,0.14,0,0,7.52,0,0,0,2.19,0,0.41
