stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,1.69,0,0,3.1,0,3.66,1.97,0,0.85,0,0,0,0,0.28,0,0,0
21Day,3.7,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,1.85,0,0,12.21,0.37,1.85,1.11,0,0,0,0,0.74,0,0,0,0,0
3Month,37.34,3.74,0,8.22,0.1,0,0.52,0.42,0,3.33,1.14,0.21,1.35,0.31,2.18,0.94,19.14,1.66,0,22.68,0.42,0.52,0,0.31,0.1,0.31,2.08,0.1,0,0.21,8.32,1.56,0.31
22Month,36.21,3.69,0,37.31,0.96,0.27,0.14,1.91,0.41,9.02,1.09,0.41,1.78,0.14,0.14,1.09,10.93,0.14,0.14,15.71,0,0.27,0.14,0.41,0.14,0.27,0.55,0,0.27,0.14,0.41,0,0.27
