stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,5,26,1,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,3.1,0.56,3.66,1.41,0.28,0,0,0,0,0,0,0.56,0,0,3.1,0,15.78,0,0,0,73.84,4.23,0.85,0,6.76,0.28,0,0.56,0,0,0.28,0,0,0
21Day,0,0.74,1.48,1.48,0,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0.37,9.25,0,0,0,23.31,1.48,0,0,2.22,0.74,0,0,0,0.74,0,0,0,0
3Month,0.1,3.02,0.94,0,0,0.21,0.31,0.1,0.52,0,2.29,1.04,0,0.52,0.21,0.73,0.73,5.2,0.52,0.42,0.42,11.03,0.52,1.35,0,0,0,5.41,0.1,0,0,0.1,0.83,7.7,0.83
22Month,0,10.66,1.91,0,0,0,0.14,0.27,0.68,0.27,7.11,0.14,0.14,0.96,0,0,0.82,2.05,0,0.14,0,4.78,0.14,1.37,0.14,0,0.14,4.24,0,0.14,0,0,0.82,0.14,0.14
