stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,2.25,0.28,0,21.42,2.25,0,0.28,1.13,0,0.56,43.12,40.3,1.41,0,0,0
21Day,4.44,0.74,1.11,15.17,1.48,12.21,1.48,0.37,0.37,4.44,1.11,5.55,2.96,0,6.29,4.07,27.38,0,2.96,27.75,9.99,0.74,1.11,9.25,5.18,0.74,176.11,568.67,1.85,0.74,0,2.59
3Month,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.1,0
22Month,0.14,0,0,0,0,0,0,0,0.41,1.23,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,26.78,0.14,0.14,0,0,0
