stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,3.38,0.56,0.56,0,0,0,0,0,0,0.28,1.41,0,18.32,0,1.13,2.82,0.85,0,0,0,35.79,0,0,0.85,0,0,0
21Day,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0,1.11,12.95,0,2.22,0,0.74,0,0,0,8.51,0,0,0,0,0,0
3Month,0,0.21,0.62,0,0,1.04,0,0.52,0.31,0.1,0.1,0,0,2.91,9.05,1.04,7.07,0,0,0.1,0,0,2.81,0.21,0,0.1,0.94,0.1,0.1
22Month,0,0,0,0,0,0.82,3.14,2.05,0.82,0.27,0,0,0.14,1.5,7.11,0,4.1,0,0,0.14,0.14,0.14,1.37,0,0.14,0,0.27,0,0
