stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.69,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,1.13,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0.37,0,0,0.37,0,1.11,0.37,0,0,0.37,1.48,0,0,0
3Month,0.21,0.31,0,1.14,0,0.31,0.1,0,3.12,0.1,0.52,0.94,0.31,0,0.52,0.1,0.21,0.21,0,0.1,0,0.62,0,0,0.1,0.52,0.1,0,0.1,0.21,0.1,0.1
22Month,0.27,0.41,0.14,0.41,0,0.27,0.55,0.27,3.42,0.14,0.41,0.55,0.27,0.14,0.55,0,0,0,0.27,0,0.41,0.27,0.14,0,0,0,0,0.14,0,0,0,0
