stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0.37,0,0,0.37,0,0,1.85,0,0,0,0.37,0.37,0,0,0,0,0,0.37
3Month,0.1,0.62,0,0.1,0.42,22.47,1.87,8.22,0,0.21,0.52,6.87,0.42,0,0.1,0,0.21,0.62,0,0,0.1,0.1,0.31
22Month,0,0.14,0,0,0.14,10.66,2.05,0.41,0,0.27,0,3.14,0,0.14,0,0,0,0.41,0.14,0.14,0,0,0
