stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,1,0,0,0
21Day,0,0,0,0,0,0.37,0
3Month,0.42,0.21,0.1,0,0.1,0,1.46
22Month,0.14,0,0,0,0,0,0.27
