stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,0,84,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,4,19,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,27.06,6.48,0,461.95,8.17,51.3,1.69,0,1.41,0.28,0,1.13,0.28,10.43,243.8,7.05,77.79,3.38,1.97,1.13,397.97,195.04,1.13,1.13,337.94,1.13,0.28,28.18,0.85,1.69,7.33,0,0,0
21Day,38.48,7.03,5.18,434.36,4.44,94.35,19.24,1.11,8.14,34.41,2.96,31.82,18.87,8.51,133.57,24.42,171.3,0.74,17.39,0.37,163.9,69.93,2.22,5.18,1060.38,55.13,0.74,15.91,9.62,34.41,6.66,0.74,0,17.39
3Month,0.21,0,0,0.21,0,0,0,0,0.21,8.01,0,0,0.42,0,0.1,0,0.31,0,0.21,0,0,0,0,0.1,0.31,0,1.56,0,0,0,0,0,0.21,0.21
22Month,0,0.14,0.14,0.14,0,0,0,0.14,0.55,4.24,0,0.14,0.27,0,0,0,0.41,0,0,0,0.14,0,0,0,0,0,3.14,0.41,0,0,0,0,0,0
