stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,17,5,35,0,1,0,0,218,0,0,1,4,33,17,47,1,31,436,9,0,0,1
72hpf,1.13,0,16.35,2.25,0.85,0.28,0,0.56,0,0,0,0.28,4.51,0.28,3.66,0,7.89,5.07,3.66,0,0.85,0
21Day,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0.74,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0,0,0.41,0.14,0,0,0.27,0,0.96,0.14,0.14,0,0.27,0.14,0,0,0,0,0,0.14,0,0
