stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0.56,0.28,0,0,0,0,0,0,0,3.38,1.97,0.28,0.56,0,0,1.97,0.56,0.85,0.28,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0,0,0.74,5.18,0.37,0,0,0,0,0,0.37,0.37,0,2.96,0.74,0,0.37,0,0.37,0.74,0,1.11,1.11,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.1,0.21,0.31,8.43,0.21,0,1.56,0.83,0,1.66,0.73,0,1.14,34.53,0.73,0.52,0.62,0,0.42,16.85,1.56,0,1.25,0,0,0,5.82,0,0.1,0,0.31,2.29,1.04
22Month,0,0.14,3.69,11.07,0.14,0,1.37,0.82,6.56,2.6,0.14,0,1.37,9.84,0.27,1.09,0.41,0.14,0.14,2.32,1.23,0,2.05,0.27,0.27,0,2.73,0.14,0,0,0,0,0.41
