stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0.56,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.74,0,0.37,2.59,0.37,0.37,0,0,0,0.37,0,0,0,1.85,0,0,0.74,3.7,0.74,0,0,0,0,0.37,0.37,0,0,0,0.74,0,0,0.37,0,0,0,0,2.22
3Month,0,1.56,2.18,78.01,0.1,0,0.83,0.1,15.19,25.8,0,16.23,34.01,4.26,51.7,2.7,18.83,34.53,6.97,3.02,0.1,1.56,2.6,1.04,0.1,1.66,0.52,0,0.1,1.87,0.21,17.89,0.21,0.1,2.7,8.84,42.33
22Month,0.41,3.83,3.01,25.42,0.14,0,1.23,1.37,5.6,65.73,1.23,24.73,37.58,13.8,44.14,0.68,3.83,42.5,7.79,0.41,1.78,2.6,0,0.41,0.14,2.6,0.82,0.41,0.27,0.41,0,9.84,0.14,0,0.96,0,23.37
