stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,1.13,0,7.89,0.85,0,0,0,0,0,0,0,0,0.28,0,1.97,6.2,2.54,4.51,0,0.28,0.56,0.28,10.15,3.1,0,0,5.92,0.28,0,0.28,0.28,0,0,0
21Day,2.22,0.74,0,18.13,0,0,0.74,0,0,1.11,0.37,0,1.11,2.59,0,1.11,17.76,7.77,9.99,0,0,4.44,0,1.11,3.33,0,0.37,2.22,1.11,0.37,0.37,0,0,0,2.22
3Month,0.1,1.87,0.42,14.46,0,0.21,0.42,0.1,3.02,9.26,0,4.06,9.36,1.35,4.47,1.35,2.91,13.73,5.3,0.94,0,1.46,1.04,0.42,0.1,0.83,0,0.1,0.21,2.39,0,0,1.25,0.62,13
22Month,0,1.5,0.14,6.15,0,0.14,0.68,0,1.23,9.57,3.69,20.63,2.87,0.82,3.55,0.27,0.82,8.61,6.15,0.14,0,0.55,0,0.14,0.14,0.27,0.14,0,0,0.41,0.14,0.14,0.55,0,4.78
