stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,1,0,0,0,0,0,0,0,0,2,1,16,0,0,4,179,0,0,8,0,0,1,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0.56,0.28,12.4,0,0.85,4.79,12.12,0,0,20.29,0,1.97,1.13,0,0
21Day,0.74,0,0.37,0.37,0.74,0,0,0,0,0.37,0,0,0.37,0,18.87,0,1.11,0,1.85,0,0,7.03,0,0.74,0.37,0,0
3Month,0,0.1,0.1,0.21,0,0.1,0.31,0,0,0.21,0.1,0.1,0.1,0.1,6.87,0.62,0.1,0.1,0.21,0.1,0,0,0.1,0.1,0,0.21,0.21
22Month,0,0.55,0.27,0.27,0,0,0.14,0.41,14.48,2.19,0,0.27,0,0.14,2.87,0.14,0.14,0,0.27,0,0.14,0,0.27,0,0,0,0.14
