stage,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,3.38,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0,0,1.11,5.55,0,0,0,0,0.37,0,0,0.37
3Month,0,0,0.1,0.1,0.21,0,0.42,0,0,0.1,0,0.1,0.21,0
22Month,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0
