stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,1.48,0,0,0
3Month,0.1,0.1,0.73,0.1,0.31,0.1,1.04,0.1,0.1,0.31,0.21,0.42,0.1,0,0.1,0.21,7.39,0.21,4.16,0.1
22Month,0,0,0,0,0,0.14,0.41,0,0.27,0,0,0.14,0,0.14,0,0,3.28,0,0,0
