stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,25,8,0,52,3,1,0,1,218,0,1,2,14,32,21,71,1,47,561,1,16,0,0,1
72hpf,0,0,0,3.95,0,0,0.28,0,0.28,0,0.28,0,0,0.28,0,0,0,1.13,0.28,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0.37,0.37,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0
