stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,1,1,78,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,2.54,0.28,0,0,0,0,0,0,0,0,0,0,0.85,1.13,0,0.28,0,0,0,0.85,5.07,7.61,0,0,2.25,0,0.56,8.46,0,0,0,0,0
21Day,0,0,0.37,2.59,2.96,0.37,0,0,0,0,0,0,0,0,0,0,0.37,1.11,0,0.74,0,0,0,0,1.48,1.85,0.37,0,1.11,0,1.11,1.48,0.37,0.74,0,0.37,0
3Month,0,0.31,0.52,23.72,1.25,0,0,0.21,1.14,1.87,0,0,10.4,2.08,0,2.39,3.33,2.29,1.56,3.54,0.73,0.1,0.83,1.14,0.52,0.21,0.94,0.21,0.1,1.04,64.28,0.42,0,0.42,0.42,284.17,1.25
22Month,0,0.27,0.14,7.65,0.27,0,0.14,0.14,0.27,0.68,0.96,0,11.21,0.27,0.14,1.09,0.55,0,0.82,0.82,0,0.41,0.14,0.41,0.27,0.14,0.14,0,0,0,13.39,0.41,0,0.14,0.14,1.37,0
