stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,30.71,0,45.51,0,0,0,0,0,2.22,0,0.37,0.37,3.33,0,0,0.74,0,1.85,1.85,0,0,0.74,0.74,0.37,0.37,1.85,0,0,2.96
3Month,0,11.55,0.1,1.56,0,2.91,7.39,0.21,0.62,0,3.12,0.42,0.42,0.62,0.21,0.83,1.46,0.1,0,0.31,0.52,0,0,0.21,0,0,0.1,11.34,0.21,0,0.52,3.64,25.28
22Month,0,11.62,0,0.82,0,1.37,2.46,0.14,0.82,0.27,4.78,0.14,0,0.55,0.27,1.09,1.5,0,0.27,0.14,0,0,0,0.14,0.14,0,0,0.96,0,0,0,0,6.01
