stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,58,182,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.41,0.28,43.69,2.82,0.28,0,0,0,0.28,0,0,0,0,0,0.85,27.06,23.11,18.04,0,0.28,0,0,7.89,10.71,0,0,18.88,0,0,2.82,0,0,3.95,0,0,0
21Day,4.07,0.74,331.51,0.37,4.44,0,6.29,0,0.74,0.37,0.74,1.48,14.43,0.74,6.29,141.7,18.5,25.16,0,0,5.92,0,10.73,6.66,0,0,4.07,5.18,0,0,1.48,1.48,2.22,0,0,32.56
3Month,0,0.21,34.95,0,0,0.21,0.83,0.31,2.39,0,0.94,1.04,0.94,0.42,0.42,4.16,3.85,2.7,0.52,0,0.1,0.21,0.31,0,0.21,0,0.31,0.52,0.31,0,0,0,0.1,0.21,0.1,28.19
22Month,0,0.27,31.84,0,0,0.14,4.24,0.27,6.42,3.28,4.92,0.41,2.6,0.14,0.55,6.83,10.11,3.01,0,0.14,0.68,0,0.41,0,0.14,0.14,0,0,0.14,0.27,0.14,0,0,0,0,39.9
