stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,11,0,0,3,0,7,0,3,0,1,0,1,0,0,0,305,5,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,3.38,0.56,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0.37,0.37,0,0.74,0,1.11,0,0,2.96,1.48,0,0.37,0.37,7.4,2.22,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0.37,0.37,0,1.11,0,0
3Month,0.1,1.56,0.42,3.95,0,0.21,0.21,0.73,6.97,0,5.82,61.06,0.21,2.7,1.04,1.87,13.21,4.99,0.52,0.1,0.94,0.73,0.21,0,0.1,0.31,0.52,0.1,1.04,0.42,0,0.1,122.74,2.08,0.62
22Month,0,0.41,0,0.55,0,0,0.27,0,4.24,0.14,11.48,23.64,0,0.68,0,0.27,9.16,1.09,0,0,0.14,0,0,0,0,0,0.27,0,0.14,0,0,0,11.48,0,0.14
