stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,7,0,18,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.4,1.41,6.48,15.78,5.36,0,0,0,0,0,0,0.28,1.41,7.61,0,51.58,0,3.38,0.28,299.04,34.39,0,0.28,13.25,0,0,5.36,0.28,0.28,0.56,0,0
21Day,9.62,0,8.51,3.7,2.59,0,0,0,0,0,1.11,0,1.11,0.74,1.11,10.36,0,5.92,0,88.8,18.87,0,0,4.07,5.18,0,0.37,0,0.74,0.37,0,1.11
3Month,0.21,0.1,2.91,1.04,0,0,0,0,0.94,0.1,0,0.21,0.31,1.14,0.52,0.62,0,0.21,0,0.62,0.52,0.42,0,0.1,0.42,0.21,0,0,0,0,0.52,0.52
22Month,0,0.14,0.82,1.09,0,0.14,0.96,0.27,2.46,0,0.27,0,0,0.14,0.14,0.68,0.14,0.27,0,0,0,0.68,0,0,0,0.41,0.14,0,0,0,0,0.14
