stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,1.69,0.28,0,0.56,1.41,0,0,0,0,0,0,0,0,1.97,0,4.79,0,0,0,0,88.5,3.95,0,0,1.97,0,0,0.28,0,0.28,0,0
21Day,0,0.37,0,1.85,0.74,0,0.37,0,0,0.37,1.11,0,0.37,0.74,0.74,4.07,0,0,1.11,0,46.99,0.74,0,0.37,0.74,2.22,0,1.11,0.74,0.74,0,0
3Month,0,0,0.21,1.14,0,0.21,0.21,0,2.18,0.21,0,0.62,0,0.52,0.21,0.42,0.1,0,0.1,0.1,0.42,0,0,0,0,0.1,0.52,0,0,0,0,0.31
22Month,0.27,0.27,0.27,1.09,0,0.55,1.09,77.07,20.22,0.68,0,2.73,0.14,0.55,1.5,2.19,0,0.14,0.27,0,0.82,0,0.27,0.14,0.14,0.14,0.41,0.14,0,0,0.27,0.14
