stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0.85,0,0,0.28,0,0.56,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,2.22,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0,0.37
3Month,0,0.42,0.1,1.04,0,0.1,0.42,0.62,12.9,1.25,1.04,0.52,0.73,0.42,13.31,0.62,0.21,0,0.1,0.1,0.1,0,0.1,0,0,0.73,0,0.1,0.52,4.37
22Month,0.14,0,0.14,0.14,0,0.27,0.14,0,15.03,5.47,0.14,0.55,0.14,0,10.93,0.27,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0.14,0,2.05
