stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0.28,0.28,0.56,0,0,0
21Day,0,0,0,0.74,0,0.37,0
3Month,0.1,0,0,0,0.1,0,0.1
