stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,1.13,0,1.41,0.56,1.13,0,0.28,0,0,0,0.28,0,0,0.28,0,1.69,5.36,0.28,5.64,0.56,0.56,0,36.08,17.19,0,0.28,3.66,0.28,0,3.1,0,0,0,0,0
21Day,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0.74,1.11,0,0,1.11,0,0.37,0,0.74,0,0,0,0
3Month,0,0,0.21,0.62,0,0,0.1,0,0.21,0.31,0,0,1.14,0.31,0,0.52,0,1.25,0.31,0.31,0,0.1,0.21,0.1,0.1,0,0,0,0.1,26.73,0.31,0,0,0.1,21.32,0.52
22Month,0,0.68,0.27,1.23,0,0,0.14,0,0.55,0,1.37,0,12.98,0.14,0.27,1.78,0.27,0,0.55,1.37,0.68,0.27,0,0,0,0.27,0.27,0,0,1.91,0,0,0.14,0.14,0,0.14
