stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0,0.1,0.62,0.1,1.25,0.1,1.25,0,0.42,0.21,0.21,0.21,0.1,0,0,0,0.1,0,0,0.83,0,0.1
22Month,0,0.14,0.41,0.14,1.37,0.14,6.15,0.14,0.55,0.14,0.41,0.41,0,0.27,0.14,0.14,0.14,0.14,0,1.09,0,0.14
