stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0.28,0
21Day,0,0,0.37,0,1.85,0,0.37,0,0,0,0,0,0.74,0,0
3Month,0.1,0.31,0,0,1.46,0.1,0.1,0.21,0,0,0.1,0,0,0,0.1
22Month,0,0,0.14,0.14,1.09,0,0,0,0.27,0.14,0,0.14,0,0,0
