stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0.56,0.56,0,0,0,0.85,0,0,0,0,0,0
21Day,0.37,0.37,1.48,0,0,0,0,0,0,0,0,0,0.37,0.37,9.99,0,0,0.37,0,0.74,0.37,0,0,0,0.37,0.74,0.74,0,0,0,0
3Month,0.1,0.42,0.94,0,0.1,1.77,0,0,1.56,0.83,0.83,0.21,0.62,0.52,23.61,6.35,0,0.1,0.21,0,0,0.1,0.1,0,0.1,0.52,29.23,0.1,0.42,17.06,0.52
22Month,0,0.55,0.27,0.14,0.14,0.68,0.14,0,3.55,0,0.82,0,0,0,14.35,0.82,0.27,0,0,0.14,0,0,0,0.27,0.14,0,5.6,0,0.14,0,0.14
