stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,2,4,0,0,1,4,1,4,0,20,0,0
72hpf,0,0,0,0.28,0,2.25,0,0,0.28,0.85,0,0.28
22Month,0,0.41,0.14,0.27,0,0,0,0,0,0,2.46,0
