stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,54,2,0,8,1,0,0,0,0,0,0,0,0,0,1,0,4,17,0,0,0,0,22,146,0,0,4,0,0,0,0,0,1,0,0,0
72hpf,31.57,3.1,0,4.79,0.28,7.33,1.41,0,0.28,0,0.28,0,0.28,0,2.25,13.25,0.85,23.96,0,1.69,0.28,0.28,966.18,52.14,0.85,2.54,20.57,0,0,13.81,0.56,0.85,1.41,0,0,0
21Day,36.63,1.11,0.37,7.77,0.74,10.73,5.55,0,0,0,0.74,0,4.07,1.11,0.37,5.92,2.59,37,0,0,3.7,0,225.32,12.58,1.48,3.7,10.36,8.14,2.96,6.66,0.74,2.22,0.37,0,0,0.37
3Month,0.62,2.6,0.42,7.18,0.1,0,13.83,1.04,2.08,0,3.43,1.56,0.94,1.25,0.42,3.02,1.25,12.48,1.14,0,1.14,0.62,6.97,1.35,2.5,3.43,0.42,1.04,82.07,1.35,0.1,0,0.21,1.25,6.35,1.25
22Month,0,1.5,0.14,3.42,0,0,8.2,0,1.64,4.37,3.83,0,0.41,0.55,0,0,1.78,6.29,0,0.68,0.14,0,4.78,0.41,3.42,2.73,0.14,0.27,20.5,1.23,0,0,0.14,0.27,0.14,0.55
