stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,1.11,0,5.18,0,0,0.37,0,1.11,0,0,0,3.33
3Month,0.1,0,0,0.1,0.1,0.1,0.1,0.31,0.1,0,0,0.21,0.1,3.54
22Month,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.41
