stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0.56,0,0,0.85,0,0.28,0,0
21Day,0,0,0.74,0,0.37,0,0.37,0,0,0,0.37,1.48,0.74,0,0.37,0.37
3Month,0,0.1,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.14,0.55,0,0,0,0.27,0,0,0,0,0,0
