stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21Day,0,0,0.37,0,0,0,0.74,0,0.74,0,0.37,0,0.37,1.11
3Month,0.1,0.1,0.83,0,0,0.83,0,0.62,0.1,0.21,0.1,0,0,0
22Month,0,0,0.27,0.96,0.14,1.78,0.14,0.14,0.41,0.14,0.14,0.27,0,0
