stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.15,4.23,0,0,0.28,0,0,0,0,0,0,0,0,5.36,7.33,0.56,0.28,0,0,0,0,5.64,2.82,0.28,0,0,0.28,0,0,0.28,0,0,0,0
21Day,1.11,0,0.74,29.23,2.59,1.85,0,0.37,1.48,0.37,0,0,0,0,25.16,0,0.37,7.03,0.74,0.74,0,0,7.4,0,1.85,2.96,1.85,0.37,0,0.37,2.22,0,0.74,0.37,0,0,1.85
3Month,0,0.94,2.29,114.52,2.5,0,0.1,0,44.21,1.25,0,0,18.52,2.81,0.62,4.89,8.11,3.74,4.26,2.29,0.42,0.21,4.26,2.08,4.37,0,7.28,0.52,0,0.1,0.94,14.04,0.1,0,1.14,4.47,4.68
22Month,0,0.68,21.18,107.95,1.91,0,0.14,0.14,80.08,2.05,1.64,0,39.49,0.68,0.68,19.4,7.11,2.73,4.37,2.46,0,0.82,3.14,0.14,3.42,0.14,10.52,0.55,0.14,0,0.41,2.19,0.27,0,0.27,0,2.05
