stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,2.22,0,0,0
3Month,0.1,0.1,0,0.42,0.1,0.21,0.21,0,1.66,0.52,0.94,0.1,0.52,0.42,0.1,0.31,0.1,0,0.1,0,0.31,19.35,0.21,33.18,0.31
22Month,0,1.5,0.14,0.41,0.14,0,0.14,0.14,2.73,0.14,0.14,0,0.14,0,0,0,0,0,0,1.09,0,12.44,0,0,0
