stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0.28,0.56,0,0,0,0,0,0,0.56,0.85,0,1.13,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,7.77,0,0.37,0,0,0,0,0,0.37,0.74,4.44,0.37,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.21,2.18,0,0,0,0.21,0,0.21,0.31,0.1,0.42,0.52,0.21,0.21,0,0,0,0,0.21,0,0,0.1,0,0.1,0.52,0
22Month,0,0,0,1.5,0,0,0.27,0,0.14,0.55,0,0,0,0.14,0,0.14,0.14,0.14,0.14,0,0.14,0.27,0,0,0,0,0,0.14
