stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.62,0.31,0.1,1.46,0.21,0.83,0.1,0.42,0.1,0,0.1,0,0.21,40.88,16.23,0.31
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,1.91,0,4.78,0.14,0
