stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,1.97,0,0,0,0,0,0,0.28,0,0,3.66,0,0.28,0,10.43,3.38,0,2.54,0,0.28,0,0.28,0,0,0,0
21Day,0.74,0,0,0.37,2.22,1.48,0,0.37,0,0,0,0,0.37,0,6.29,0,0.37,0,1.85,1.48,0,0.74,0,0,0.37,0,0.37,0,0,0
3Month,0,0.1,0.1,0.62,0,0,0.21,0.1,1.56,0.21,0.52,0,0.21,0.1,1.66,0.21,0.21,0.52,0.21,0.1,0.21,0,0.31,4.37,0,0,0,0.31,3.22,0.1
22Month,0,0.27,0,0.14,0,0,0,0.14,4.24,0,0.68,0,0,0,0.55,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0
