stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0,0,0.1,0.31,0.21,1.46,0,0.21,0.1,0.1,0,0.1,0,0.1,0.1,0
22Month,0.14,0.14,0,0.27,0.14,2.46,0.14,0,0,0,0.14,0,0,0,0,0.14
