stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,1.41,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0.37,0.37,0,0,0.74,0,0,0,0
3Month,0.42,0,2.08,0.1,0.52,0,0.73,0.31,0.1,0.73,0.42,0.62,0.73,1.14,0.31,1.35,0,1.35,0.1,0.31,0.1
22Month,0.14,0.14,0.14,0,0.27,0.27,1.64,0,0.14,0.68,0,0,0,0.41,0,0.14,0,0.14,0,0,0
