stage,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,1,0,0,1,0
72hpf,0,0,0,0,0.56,0,0
21Day,0,0,0,0.37,0,0,0
3Month,0,0,0,0,0,0,0.31
22Month,0.27,0.41,0.14,0,0,0,0
